"gender","age","education","country","geography","student","teacher","caregiver","occupation","cultural","case","desktop","laptop","tablet","smartphone","richmobile","basicmobile","desktopuse","laptopuse","tabletuse","smartphoneuse","richmobileuse","basicmobileuse","at_everywhere","at_work","at_home","at_familyhouse","at_school","at_public","at_internetcafe","desktop_access","laptop_access","tablet_access","smartphone_access","richmobile_access","basicmobile_access","desktopUSE_net","laptopUSE_net","tabletUSE_net","smartphoneUSE_net","richmobileUSE_net","basicmobileUSE_net","everywhere_net","work_net","home_net","familyhouse_net","school_net","public_net","internetcafe_net","sms_access","digitalphoto_access","digitalvideo_access","digitalpayment_access","digitalpayment_recieve","politicalnews_access","socialnetworks","healthinfo","jobsearch","serviceoffer","games","topics","discussions","word","budgeting","appdev","webdev","products","banking","everywhereUSE","workUSE","homeUSE","familyhouseUSE","schoolUSE","publicUSE","internetcafeUSE","playgames","takephoto","lookphoto","makevideo","watchvideo","makemusic","listenmusic","read","write","talk","talkfamily","events","learn","games_net","takephotos_net","lookphotos_net","makevideos_net","watchvideos_net","makemusic_net","listenmusic_net","read_net","write_net","talkfriends_net","talkfamily_net","planevent_net","learn_net","shareidea_net","learnidea_net","musicdownload_net","moviedownload_net","bookdownload_net","facebook","twitter","instagram","snapchat","youtube","linkedin","badoo","googlep","whatsapp","viber","kik","bbmessenger","vine","pinterest","tumblr","googledocs","blogger","wordpress","wordedit"
"1","Female","25-30","University","Uganda","Urban",1,0,0,"Self-employed","Ugandan","Test","Multiple times day","Multiple times day","Less than once a month","Multiple times day","Multiple times day","Multiple times day","Less than once a month","Multiple times day","Less than once a month","Multiple times day","Multiple times day","Never","Multiple times day","Multiple times day","Multiple times day","Never","Never","Never","Never","Never","Multiple times day","Never","Multiple times day","Multiple times day","Never","Never","Multiple times day","Never","Multiple times day","Multiple times day","Never","Multiple times day","Multiple times day","Multiple times day","Never","Never","Never","Never","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Multiple times day","Multiple times day","Multiple times day","Never","Never","Never","Never","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Never","Very often","Very often","Very often","Never","Never","Never","Never","Never","Very often","Very often","Very often","Very often"
"2","Female",">30","University","Lebanon","Rural",0,1,0,"Workforce","Lebanese","Deviant","Multiple times day","Multiple times day","Never","Multiple times day","Never","Multiple times day","Multiple times day","Multiple times day","Never","Multiple times day","Never","Never","Multiple times day","Multiple times day","Multiple times day","Every few days","Never","Never","Never","Multiple times day","Multiple times day","Never","Multiple times day","Never","Never","Multiple times day","Multiple times day","Never","Multiple times day","Never","Never","Multiple times day","Multiple times day","Multiple times day","Once a week","Never","Never","Never","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Multiple times day","Multiple times day","Multiple times day","Once a week","Never","Never","Never","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Never","Very often","Very often","Very often","Never","Somewhat often","Never","Never","Never","Very often","Very often","Very often","Very often"
"3","Male","25-30","Mas/PhD","Lebanon","Rural",0,0,0,"M-owner","Lebanese","Typical","Multiple times day","Multiple times day","Never","Multiple times day","Never","Never","Multiple times day","Every few days","Never","Multiple times day","Never","Never","Multiple times day","Multiple times day","Once a day","Never","Never","Never","Once a month","Never","Multiple times day","Never","Multiple times day","Never","Never","Never","Multiple times day","Never","Multiple times day","Never","Never","Multiple times day","Once a day","Every few days","Never","Never","Never","Once a month","Always","Always","Always","Never","Never","Every few days","Always","Less than once a month","Never","Never","Less than once a month","Once a week","Always","Once a month","Always","Never","Never","Once a week","Always","Multiple times day","Multiple times day","Every few days","Never","Never","Never","Once a month","Somewhat often","Somewhat often","Often","Not very often","Somewhat often","Not very often","Often","Often","Never","Very often","Somewhat often","Somewhat often","Very often","Not very often","Somewhat often","Often","Never","Often","Never","Often","Very often","Never","Very often","Very often","Somewhat often","Very often","Often","Often","Not very often","Not very often","Never","Very often","Never","Never","Never","Never","Never","Never","Not very often","Very often","Often","Never","Never","Never","Never","Never","Never","Never","Never","Often"
"4","Female","20-24","Mas/PhD","Lebanon","Rural",0,1,0,"Workforce","Lebanese","Typical","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Never","Less than once a month","Multiple times day","Never","Multiple times day","Never","Never","Multiple times day","Multiple times day","Multiple times day","Never","Never","Never","Never","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Never","Less than once a month","Multiple times day","Never","Multiple times day","Never","Never","Multiple times day","Once a day","Multiple times day","Never","Never","Never","Less than once a month","Always","Always","Always","Never","Never","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Never","Never","Always","Always","Multiple times day","Every few days","Multiple times day","Never","Never","Never","Never","Very often","Often","Not very often","Never","Very often","Never","Never","Never","Not very often","Very often","Very often","Not very often","Very often","Somewhat often","Never","Often","Never","Very often","Never","Never","Never","Never","Very often","Very often","Never","Very often","Not very often","Not very often","Not very often","Never","Never","Very often","Never","Never","Never","Very often","Never","Never","Never","Very often","Not very often","Never","Never","Never","Never","Never","Never","Never","Never","Very often"
"5","Male","20-24","Secondary","Kenya","Urban",0,0,0,"Casual","Kenyan","Typical","Once every few weeks","Less than once a month","Never","Multiple times day","Never","Multiple times day","Once a month","Less than once a month","Never","Multiple times day","Never","Multiple times day","Multiple times day","Once a day","Multiple times day","Multiple times day","Never","Never","Once a month","Once a week","Less than once a month","Never","Multiple times day","Once every few weeks","Multiple times day","Once a day","Never","Never","Multiple times day","Never","Multiple times day","Multiple times day","Less than once a month","Never","Multiple times day","Never","Never","Every few days","Always","Always","Once a day","Once a month","Once a week","Once a day","Always","Once a week","Always","Once a month","Always","Always","Always","Every few days","Never","Once a week","Once a week","Never","Less than once a month","Multiple times day","Once a day","Multiple times day","Multiple times day","Never","Never","Every few days","Often","Very often","Not very often","Very often","Very often","Never","Very often","Often","Very often","Very often","Often","Often","Often","Often","Somewhat often","Often","Often","Often","Never","Very often","Often","Very often","Very often","Often","Often","Often","Often","Often","Often","Often","Often","Very often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Often"
"6","Male","25-30","Secondary","Kenya","Peri-urban",0,0,0,"M-owner","Kenyan","Typical","Multiple times day","Never","Never","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Never","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Once a day","Every few days","Once every few weeks","Never","Never","Never","Never","Never","Never","Multiple times day","Never","Never","Never","Never","Never","Multiple times day","Never","Never","Multiple times day","Every few days","Multiple times day","Once every few weeks","Never","Never","Never","Always","Once a week","Never","Never","Never","Always","Always","Less than once a month","Less than once a month","Less than once a month","Always","Once a week","Once a week","Never","Never","Never","Never","Once a day","Never","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Never","Once every few weeks","Once every few weeks","Not very often","Not very often","Not very often","Not very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Never","Very often","Often","Very often","Not very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Not very often","Very often","Not very often","Very often","Somewhat often","Somewhat often","Never","Very often","Never","Often","Never","Never","Never","Never","Never","Very often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Somewhat often"
"7","Female","25-30","University","Uganda","Peri-urban",0,0,0,"Workforce","Ugandan","Typical","Less than once a month","Multiple times day","Once a week","Multiple times day","Never","Never","Less than once a month","Multiple times day","Once a week","Multiple times day","Never","Never","Multiple times day","Multiple times day","Multiple times day","Every few days","Never","Less than once a month","Never","Once a month","Multiple times day","Every few days","Multiple times day","Never","Never","Once a month","Multiple times day","Every few days","Multiple times day","Never","Never","Multiple times day","Multiple times day","Multiple times day","Once a week","Never","Less than once a month","Never","Always","Always","Always","Always","Always","Never","Always","Once a week","Every few days","Less than once a month","Always","Always","Always","Always","Always","Less than once a month","Never","Once a day","Always","Multiple times day","Multiple times day","Multiple times day","Once a week","Never","Never","Never","Very often","Very often","Very often","Very often","Very often","Not very often","Very often","Very often","Often","Very often","Very often","Very often","Very often","Very often","Never","Very often","Never","Very often","Never","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Somewhat often","Very often","Very often","Very often","Not very often","Not very often","Not very often","Very often","Very often","Very often","Never","Very often","Very often"
"8","Female","16-19","Certificate","Kenya","Urban",0,0,0,"Self-employed","Kenyan","Typical","Never","Multiple times day","Never","Multiple times day","Never","Multiple times day","Never","Multiple times day","Never","Multiple times day","Never","Multiple times day","Multiple times day","Multiple times day","Multiple times day","Once every few weeks","Once a week","Never","Multiple times day","Never","Every few days","Never","Multiple times day","Never","Multiple times day","Never","Multiple times day","Multiple times day","Multiple times day","Never","Multiple times day","Less than once a month","Multiple times day","Multiple times day","Less than once a month","Never","Once a week","Once every few weeks","Always","Once a week","Always","Never","Once a month","Less than once a month","Always","Less than once a month","Less than once a month","Less than once a month","Every few days","Always","Always","Always","Less than once a month","Never","Never","Always","Never","Multiple times day","Multiple times day","Multiple times day","Once a week","Multiple times day","Multiple times day","Never","Not very often","Often","Often","Never","Often","Very often","Very often","Very often","Very often","Very often","Very often","Often","Often","Not very often","Often","Very often","Not very often","Never","Very often","Very often","Very often","Very often","Very often","Often","Not very often","Often","Often","Often","Often","Often","Often","Very often","Often","Not very often","Not very often","Often","Never","Never","Never","Very often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Very often"
"9","Male","20-24","Secondary","Kenya","Rural",0,0,0,"Unemployed","Kenyan","Typical","Multiple times day","Multiple times day","Never","Multiple times day","Never","Multiple times day","Multiple times day","Multiple times day","Never","Once a week","Never","Multiple times day","Multiple times day","Less than once a month","Multiple times day","Every few days","Never","Once every few weeks","Once every few weeks","Less than once a month","Less than once a month","Never","Once a day","Never","Never","Less than once a month","Less than once a month","Less than once a month","Multiple times day","Less than once a month","Less than once a month","Multiple times day","Never","Every few days","Every few days","Never","Never","Never","Always","Once a week","Never","Never","Never","Less than once a month","Never","Never","Less than once a month","Never","Always","Less than once a month","Never","Never","Never","Never","Never","Less than once a month","Never","Multiple times day","Never","Multiple times day","Once a day","Never","Never","Never","Very often","Never","Often","Never","Never","Never","Very often","Not very often","Not very often","Very often","Very often","Not very often","Never","Not very often","Not very often","Never","Not very often","Never","Not very often","Never","Never","Not very often","Very often","Very often","Not very often","Often","Not very often","Not very often","Often","Often","Never","Very often","Never","Never","Never","Never","Never","Never","Never","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Often"
"10","Male","25-30","Certificate","Kenya","Rural",0,0,0,"Self-employed","Kenyan","Typical","Multiple times day","Never","Never","Multiple times day","Never","Multiple times day","Multiple times day","Never","Never","Multiple times day","Never","Multiple times day","Multiple times day","Multiple times day","Once a day","Every few days","Never","Never","Once a month","Never","Never","Never","Multiple times day","Never","Every few days","Never","Never","Never","Multiple times day","Never","Every few days","Multiple times day","Once a week","Less than once a month","Never","Never","Never","Once a month","Once a day","Once a day","Once a month","Once every few weeks","Every few days","Always","Always","Once a month","Once a month","Always","Always","Always","Always","Always","Once a week","Every few days","Never","Every few days","Once a month","Multiple times day","Multiple times day","Less than once a month","Less than once a month","Never","Never","Once a month","Very often","Not very often","Not very often","Not very often","Often","Very often","Very often","Very often","Very often","Very often","Very often","Not very often","Very often","Not very often","Somewhat often","Very often","Not very often","Very often","Not very often","Very often","Very often","Very often","Very often","Very often","Not very often","Very often","Very often","Very often","Very often","Very often","Never","Very often","Never","Never","Never","Somewhat often","Never","Never","Never","Very often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Often"
